ID,Source,Name,Type,Description,Surname,Alias1,Alias2,Alias3,Alias4,Alias5,Greek,GreekSurname,GreekAlias,GreekAlias2,URI,Note,MattConfirmed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,T1,T2,T3,T4,T5
126,NT Only,Jechonias,,,,,,,,,Ιεχονίας,,,,,,Y,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,NT Only,Salathiel,,,,,,,,,Σελαθιήλ,,,,,,Y,1248,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,NT Only,Zorobabel,,,,,,,,,Ζοροβάβελ,,,,,,Y,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,NT Only,Abiud,,,,,,,,,Αβιούδ,,,,,,Y,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,NT Only,Eliakim,,,,,,,,,Ελιακείμ,,,,,,Y,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,NT Only,Azor,,,,,,,,,Αζώρ,,,,,,Y,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,NT Only,Sadoc,,,,,,,,,Σαδώκ,,,,,,Y,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,NT Only,Achim,,,,,,,,,Αχείμ,,,,,,Y,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,NT Only,Eliud,,,,,,,,,Ελιούδ,,,,,,Y,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,NT Only,Eleazar,,,,,,,,,Ελεάζαρ,,,,,,Y,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,NT Only,Matthan,,,,,,,,,Μαθθάν,,,,,,Y,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,NT Only,Jacob,,,,,,,,,Ιακώβ,,,,,,Y,136,1953,0,135,0,134,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,NT Only,Esrom,,,,,,,,,Εσρώμ,,,,,,Y,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,NT Only,Aram,,,,,,,,,Αράμ,,,,,,Y,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,NT Only,Rama,,,,,,,,,Ραμά,,,,,,Y,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,NT Only,Rachel,,,,,,,,,Ραχήλ,,,,,,Y,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,NT Only,Galilee,,,,Galilaeans,Galilaean,,,,Γαλιλαία,,,,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,NT Only,Nazareth,,,,Nazarene,,,,,Ναζωραίος,,Ναζαρέτ,,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,NT Only,Isaiah,,,Esaias,,,,,,Ησαΐα,,,,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,NT Only,Jordan,,,,,,,,,Ιορδάνη,,,,,,Y,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,NT Only,Zabulon,,,,,,,,,Ζαβουλών,,,,,,Y,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,NT Only,Nephthalim,,,,,,,,,Νεφταλείμ,,,,,,Y,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,NT Only,Gentiles,,,,,,,,,Εθνών,λαός,,,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
